Bezeichnung,Count,Firma,Datum erste Meldung,neuer Status,Datum der letzten Mutation,Datum Lieferfaehigkeit,mögliche Alternativen,GTIN
ACETALGIN Supp 125 mg 10 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 39,Alternativen?,7680494930101
ACETALGIN Tabl 500 mg 20 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 38,Alternativen?,7680341860575
AGIOLAX mite Gran Ds 1000 g,1,MEDA Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,TBC,Alternativen?,7680429330037
AGIOLAX mite Gran Ds 250 g,1,MEDA Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 44,Alternativen?,7680429330013
AGOMELATIN Spirig HC Filmtabl 25 mg 98 Stk,4,Spirig HealthCare AG,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,29.12.2024,Alternativen?,7680674230021
AMOXICILLIN axapharm Disp Tabl 1000 mg 20 Stk,1,axapharm ag,27.08.2024,1 aktuell keine Lieferungen,28.08.2024,10.09.2024,Alternativen?,7680664280050
APHENYLBARBIT Streuli Tabl 100 mg 100 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 43,Alternativen?,7680121750782
ATORVASTATIN Ezetimib Zentiva Tabl 40/10mg 30 Stk,1,Helvepharm AG,26.08.2024,1 aktuell keine Lieferungen,26.08.2024,,Alternativen?,7680681910053
AZITHROMYCIN Mepha Plv 200 mg/5ml f Susp Fl 15 ml,1,Mepha Pharma AG,22.08.2024,1 aktuell keine Lieferungen,26.08.2024,in Abklärung/en clarif.,Alternativen?,7680580810027
BUDENID Steri Nebs Inhal Susp 0.5 mg/2ml 20 x 2 ml,1,Teva Pharma AG,23.05.2024,1 aktuell keine Lieferungen,28.08.2024,14.04. - 18.04.2025,Alternativen?,7680600870017
BUDENID Steri Nebs Inhal Susp 1 mg/2ml 20 x 2 ml,1,Teva Pharma AG,25.06.2024,1 aktuell keine Lieferungen,28.08.2024,14.04. - 18.04.2025,Alternativen?,7680600870031
CABAZITAXEL Accord Inf Konz 60 mg/3ml 3 ml,1,Accord Healthcare AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,10.10.2024,Alternativen?,7680682990016
CANDESARTAN Sandoz Tabl 16 mg 28 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Okt'24,Alternativen?,7680586700070
CANDESARTAN Sandoz Tabl 16 mg 98 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Okt 24,Alternativen?,7680586700094
CELECOXIB Sandoz Kaps 200 mg 100 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Dez 24,Alternativen?,7680629360032
CETIRIZIN Streuli Filmtabl 10 mg 30 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 36,Alternativen?,7680563300057
CETIRIZIN Streuli Filmtabl 10 mg 50 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 36,Alternativen?,7680563300064
CIPROFLOXACIN Spirig HC Filmtabl 500 mg 20 Stk,4,Spirig HealthCare AG,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,15.09.2024,Alternativen?,7680559220185
CLARITHROMYCIN Mepha Lactab 250 mg 14 Stk,1,Mepha Pharma AG,23.08.2024,1 aktuell keine Lieferungen,26.08.2024,14.10. - 18.10.2024,Alternativen?,7680571300025
CLARITHROMYCIN Mepha Lactab 500 mg 14 Stk,1,Mepha Pharma AG,23.08.2024,1 aktuell keine Lieferungen,26.08.2024,in Abklärung/en clarif.,Alternativen?,7680571300087
CLARITHROMYCIN Sandoz Filmtabl 500 mg 14 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Sep 24,Alternativen?,7680571290081
CLEXANE MULTI Inj Lös 300 mg/3ml Durchstf 3 ml,1,Sanofi-Aventis (Suisse) SA,29.08.2024,1 aktuell keine Lieferungen,30.08.2024,04.09.2024,Alternativen?,7680542970172
CLINDAMYCIN Sandoz Kaps 300 mg 16 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Sep 24,Alternativen?,7680589190021
