Ziffer,Text
00.0010," Konsultation, erste 5 Min. (Grundkonsultation) "
00.0015, + Zuschlag für hausärztliche Leistungen in der Arztpraxis 
00.0020," + Konsultation bei Personen über 6 Jahren und unter 75 Jahren, jede weiteren 5 Min. (Konsultationszuschlag) "
00.0025," + Konsultation bei Kindern unter 6 Jahren und Personen über 75 Jahren, jede weiteren 5 Min. "
00.0026," + Konsultation bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, jede weiteren 5 Min. "
00.0030," + Konsultation, letzte 5 Min. (Konsultationszuschlag) "
00.0040, + Zuschlag für Kinder unter 6 Jahren 
00.0050," Vorbesprechung diagnostischer/therapeutischer Eingriffe mit Patienten/Angehörigen durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahren, pro 5 Min. "
00.0055," Vorbesprechung diagnostischer/therapeutischer Eingriffe mit Patienten/Angehörigen durch den Facharzt bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 5 Min. "
00.0056," Vorbesprechung diagnostischer/therapeutischer Eingriffe mit Patienten/Angehörigen durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 5 Min. "
00.0060," Besuch, erste 5 Min. (Grundbesuch) "
00.0070," + Besuch bei Personen über 6 Jahren und unter 75 Jahren, jede weiteren 5 Min. (Besuchszuschlag) "
00.0075," + Besuch bei Kindern unter 6 Jahren und Personen über 75 Jahren, jede weiteren 5 Min. "
00.0076," + Besuch bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, jede weiteren 5 Min. "
00.0080," + Besuch, letzte 5 Min. (Besuchszuschlag) "
00.0095," + Wegentschädigung, pro 5 Min. "
00.0100," Patiententransport durch den Facharzt, pro 5 Min. "
00.0110," Telefonische Konsultation durch den Facharzt, erste 5 Min. "
00.0120," + Telefonische Konsultation durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahren, jede weiteren 5 Min. "
00.0125," + Telefonische Konsultation durch den Facharzt bei Kindern unter 6 Jahren und Personen über 75 Jahren, jede weiteren 5 Min. "
00.0126," + Telefonische Konsultation durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahre mit einem erhöhten Behandlungsbedarf, jede weiteren 5 Min. "
00.0130," + Telefonische Konsultation durch den Facharzt, letzte 5 Min. "
00.0131," Aktenstudium in Abwesenheit des Patienten bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 1 Min. "
00.0132," Erkundigungen bei Dritten in Abwesenheit des Patienten bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 1 Min. "
00.0133," Auskünfte an Angehörige oder andere Bezugspersonen des Patienten in Abwesenheit des Patienten bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 1 Min. "
00.0134," Besprechungen mit Therapeuten und Betreuern des Patienten in Abwesenheit des Patienten bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 1 Min. "
